"2017-03-31_Galagan","JG0331_Ec_delta_ompR","ompR","tsx","-1.41","-1.41","51.93","45.95","174","138.90","122.92","2184.75",
"2017-03-31_Galagan","JG0331_Ec_delta_ompR","ompR","cyoA","-2.01","-2.01","363.96","345.04","918","1474.27","1397.61","19398.50",
"2017-03-31_Galagan","JG0331_Ec_delta_ompR","ompR","rhsD","-1.79","-1.78","3.08","13.21","35","10.66","45.65","422.50",
"2017-03-31_Galagan","JG0331_Ec_delta_ompR","ompR","ybcV","5.94","5.97","3.07","1.26","2","0.05","0.02","0.25",
"2017-03-31_Galagan","JG0331_Ec_delta_ompR","ompR","cstA","-1.01","-1.01","92.02","193.80","923","186.03","391.80","6502.00",
"2017-03-31_Galagan","JG0331_Ec_delta_ompR","ompR","citC","-1.59","-1.59","1.12","1.19","3","3.38","3.58","30.25",
"2017-03-31_Galagan","JG0331_Ec_delta_ompR","ompR","flc",,,"0.00","0.00","0","18.62","7.15","123.50",
"2017-03-31_Galagan","JG0331_Ec_delta_ompR","ompR","tatE","-1.08","-1.08","179.64","36.64","69","380.85","77.69","892.75",
"2017-03-31_Galagan","JG0331_Ec_delta_ompR","ompR","lipA","-3.09","-3.09","21.94","21.20","58","187.41","181.03","2572.25",
"2017-03-31_Galagan","JG0331_Ec_delta_ompR","ompR","chiP","-2.68","-2.67","0.53","0.75","2","3.40","4.79","55.75",
"2017-03-31_Galagan","JG0331_Ec_delta_ompR","ompR","ybgI","0.19","0.19","211.72","157.52","453","184.81","137.50","4289.00",
"2017-03-31_Galagan","JG0331_Ec_delta_ompR","ompR","gltA","-1.85","-1.85","88.24","113.30","310","318.78","409.32","5788.00",
"2017-03-31_Galagan","JG0331_Ec_delta_ompR","ompR","cydA","0.15","0.15","427.42","670.62","1953","383.39","601.55","6049.50",
"2017-03-31_Galagan","JG0331_Ec_delta_ompR","ompR","mcbA","0.13","0.13","106.48","27.79","49","96.95","25.30","370.75",
"2017-03-31_Galagan","JG0331_Ec_delta_ompR","ompR","glnH","-0.13","-0.13","364.92","272.58","687","402.01","300.30","3711.25",
"2017-03-31_Galagan","JG0331_Ec_delta_ompR","ompR","ompX","-2.46","-2.46","275.83","142.33","385","1518.85","783.72","11094.25",
"2017-03-31_Galagan","JG0331_Ec_delta_ompR","ompR","ompF","-5.19","-5.19","98.53","107.30","340","3621.68","3944.02","62930.50",
"2017-03-31_Galagan","JG0331_Ec_delta_ompR","ompR","asnS","-2.29","-2.29","88.25","123.64","332","432.71","606.23","7464.50",
"2017-03-31_Galagan","JG0331_Ec_delta_ompR","ompR","elfD","-3.62","-3.62","0.64","0.45","2","7.90","5.55","56.00",
"2017-03-31_Galagan","JG0331_Ec_delta_ompR","ompR","yccT","-2.54","-2.55","3.49","2.31","11","20.41","13.53","163.00",
"2017-03-31_Galagan","JG0331_Ec_delta_ompR","ompR","ycfH","-2.45","-2.45","19.47","15.53","46","106.71","85.16","1012.75",
"2017-03-31_Galagan","JG0331_Ec_delta_ompR","ompR","ycgZ","0.38","0.38","30.93","7.33","6","23.61","5.59","47.25",
"2017-03-31_Galagan","JG0331_Ec_delta_ompR","ompR","dhaK","-0.57","-0.57","46.76","50.08","133","69.83","74.79","885.25",
"2017-03-31_Galagan","JG0331_Ec_delta_ompR","ompR","ychH","3.85","3.85","260.32","72.63","107","17.97","5.01","133.00",
"2017-03-31_Galagan","JG0331_Ec_delta_ompR","ompR","dauA","-2.19","-2.19","4.58","7.70","25","20.97","35.22","527.25",
"2017-03-31_Galagan","JG0331_Ec_delta_ompR","ompR","chaA","-2.42","-2.42","6.45","7.11","17","34.62","38.12","601.00",
"2017-03-31_Galagan","JG0331_Ec_delta_ompR","ompR","ydaN",,,"0.00","0.00","0","0.00","0.00","0.00",
"2017-03-31_Galagan","JG0331_Ec_delta_ompR","ompR","yncD","-2.51","-2.51","7.97","16.77","49","45.49","95.69","1156.75",
"2017-03-31_Galagan","JG0331_Ec_delta_ompR","ompR","narU","-2.20","-2.21","1.63","2.25","5","7.53","10.45","184.50",
"2017-03-31_Galagan","JG0331_Ec_delta_ompR","ompR","yddB","-0.76","-0.76","7.43","17.63","52","12.62","29.96","386.25",
"2017-03-31_Galagan","JG0331_Ec_delta_ompR","ompR","ydfO",,,"0.00","0.00","0","0.00","0.00","0.00",
"2017-03-31_Galagan","JG0331_Ec_delta_ompR","ompR","hdhA","-0.84","-0.84","82.58","63.42","153","148.83","114.30","1519.00",
